time,station_id,grid,combination,HFB(HBV),HFB(RECAL_HBV),HFB(HYMOD),HFB(LSTM),RMSE(PRECIP)
historical,01108000,6,3,-4.48766018569571,-0.36727077690739757,-1.2535419567032537,-10.244627528375275,1.0830219990373717
historical,01108000,6,4,0.03561767470803096,0.5934888888703532,3.311776437782092,-0.18826485202816512,0.8702704810474187
historical,01108000,6,5,-1.8714710766964473,-2.7685860450450996,0.5948235089999265,-1.0315779464033261,0.748483327282699
historical,01108000,6,6,7.252492611626378,3.2925078596613573,1.8857348293312772,11.108460407242651,2.811899182036017
historical,01108000,6,7,0.9917061700322716,2.6244470710510037,3.320785123656727,-4.378972058893452,1.5416083701234995
historical,01108000,6,8,-0.011344271101387153,1.0626078644159436,1.9884171655504495,-2.5822397094532,2.1285378905055814
historical,01108000,6,9,2.3958099601031977,4.777439581329665,1.7432641304991565,6.831002891954993,2.690602516116075
historical,01108000,7,0,-2.40214940571868,0.8910257640074661,1.0027167861012658,-1.563757723071327,0.8011443599732083
historical,01108000,7,1,10.479687498696661,9.047973754695152,7.133711420094207,9.129886065147813,2.068166292079385
historical,01108000,7,2,0.2474052065199513,-0.27935267587165535,0.9205542343743094,-5.428317135771737,1.3991387566508204
historical,01108000,7,3,-4.633300607335573,-3.5771990160513107,0.07415483094950917,-2.6948482828860834,0.7288268742806526
historical,01108000,7,4,-2.1355590348360893,0.1472252830437368,2.196868147038434,-8.859959143941282,1.495616915951108
historical,01108000,7,5,-0.8997842086078021,-0.3286502069078256,0.01443058015103088,-0.4802130053726812,0.8439325657309583
historical,01108000,7,6,-2.4081551963017667,-3.0568639930332813,1.0489280080877983,-1.4327981228567883,0.4761913861248732
historical,01108000,7,7,-1.5411525946266527,-0.19568867649892321,-2.580488020533131,-1.2376099289064546,0.734767391241727
historical,01108000,7,8,-1.3188549292943288,-0.5651282111168884,-0.4082269321337307,-0.961510389600641,0.6163107501736111
historical,01108000,7,9,-2.698351660726221,-0.5843967892376275,1.4141968548008366,-1.6271521792261396,0.6006437100523893
historical,01108000,8,0,-1.8167516513838737,0.5295939501669541,-2.5266861465596397,-1.0991430904630566,0.6042201455762352
historical,01108000,8,1,3.7226726101749783,4.6758416239657725,5.686816372118784,6.272964850276476,2.553963440743354
historical,01108000,8,2,-0.5204184367761256,-0.37786432418590504,2.525601767704361,-0.24582034511608178,0.47592569732223905
historical,01108000,8,3,2.9183971545898864,5.249644865924894,4.953359197159261,-3.3037687170046457,1.4106757977777629
historical,01108000,8,4,2.6240300022605125,2.1821873256131115,1.665856162983807,5.468856222207576,2.311726923616122
historical,01108000,8,5,-1.9632262106047262,-1.241613789295179,0.2287205247059043,-1.124167217892586,0.6129176526636203
historical,01108000,8,6,0.38587204496335376,0.49731282578285724,4.245927114726447,0.06698124775304137,0.8171730837358921
historical,01108000,8,7,-3.513387491106009,-2.4797242007502214,-1.1452708986914908,-2.1059471507111462,0.9880794792438656
historical,01108000,8,8,1.1003108830764303,4.253934835503896,2.954515311846502,-5.218948602944673,1.317695599850933
historical,01108000,8,9,-0.19051702349681907,0.4622790473815168,2.248918332091858,-6.532715292994997,1.329428632559085
historical,01108000,9,0,2.3800447598225962,1.955552144859669,2.277112182329128,-3.7074913062010633,1.4028064661238109
historical,01108000,9,1,-1.1845587787558503,-1.713318591341819,0.8810161130356523,-0.7162739407912453,0.5177000285223129
historical,01108000,9,2,4.933756964006127,4.023712863152222,2.568309611850762,0.1929360224816754,1.9037630237200323
historical,01108000,9,3,0.29878808150858793,0.21637528850733534,3.300682407955001,0.22796980088302018,0.27791791379607084
historical,01108000,9,4,0.15298083235252416,-0.872758150983909,0.8790975965993869,0.04779608339039754,0.505585177625077
historical,01108000,9,5,-1.9986770577965611,-0.49831379088004346,1.736757857367479,-1.1900640867903458,0.4379132746536082
historical,01108000,9,6,-2.174846914900447,2.2902081423505845,-0.8379746138568603,-1.1975713250192082,0.19209290170016052
historical,01108000,9,7,0.656549689992767,0.20002619192004198,-2.049058967688014,0.5466103568190319,0.34765594569822145
historical,01108000,9,8,-0.27401419535335325,0.13379566798988182,2.0151095681419493,-0.16324072459863273,0.3726364627644038
historical,01108000,9,9,0.14580724915606227,0.7027609119792981,-2.8007837556710955,0.16207293198525888,0.45045647516432524
historical,01108000,99,0,0.0,-0.46344683999489666,-0.014513993909126156,7.078741753507342,0.0
historical,01108000,99,1,0.0,2.5530448941187482,1.9900020269543204,,0.0
historical,01108000,99,2,0.0,0.5976595767752741,1.5821087498529813,,0.0
historical,01108000,99,3,0.0,-0.24807251658474166,1.1176609447609085,,0.0
historical,01108000,99,4,0.0,2.565390130317314,-3.235953331670623,,0.0
future,01108000,1,0,55.26838308100886,50.7691110461966,51.05332816856504,57.282642719796414,5.115133578738987
future,01108000,1,1,-14.127519058633867,-1.03274072069425,-49.61296178748993,23.39669079279387,7.33533630387206
future,01108000,1,2,17.059299399566644,24.73943376097537,17.90016162162884,36.48612626697012,7.09058452310775
